request ID,time,N,result
31565,0.003988981246948242,6,720
36895,0.003989458084106445,14,87178291200
21223,0.0019943714141845703,9,362880
42853,0.0019948482513427734,4,24
40775,0.0019948482513427734,11,39916800
5589,0.001994609832763672,4,24
99456,0.008975982666015625,17,355687428096000
11396,0.0029921531677246094,14,87178291200
97717,0.006981372833251953,14,87178291200
26591,0.0069811344146728516,10,3628800
93092,0.00498652458190918,9,362880
90922,0.0029921531677246094,10,3628800
2857,0.003989219665527344,13,6227020800
87720,0.0109710693359375,19,121645100408832000
61399,0.0029916763305664062,12,479001600
42510,0.0,2,2
45681,0.0009975433349609375,3,6
11168,0.001994609832763672,6,720
31876,0.003989458084106445,12,479001600
24241,0.003989458084106445,17,355687428096000
36275,0.003989219665527344,16,20922789888000
68216,0.0019943714141845703,7,5040
54055,0.005984067916870117,19,121645100408832000
99200,0.001994609832763672,10,3628800
33965,0.001995086669921875,7,5040
77483,0.0029916763305664062,9,362880
48447,0.00498652458190918,16,20922789888000
62159,0.0,1,1
49459,0.000997304916381836,4,24
2488,0.0049877166748046875,9,362880
68905,0.00897526741027832,13,6227020800
95038,0.011967897415161133,17,355687428096000
37352,0.001994609832763672,4,24
64639,0.011968374252319336,17,355687428096000
282,0.0019943714141845703,3,6
80176,0.0029916763305664062,4,24
52599,0.0029921531677246094,4,24
88363,0.00598454475402832,10,3628800
88090,0.008975744247436523,12,479001600
50927,0.011967897415161133,20,2432902008176640000
29961,0.001994609832763672,4,24
50797,0.00498652458190918,7,5040
79048,0.011967897415161133,17,355687428096000
95204,0.01296544075012207,19,121645100408832000
46092,0.0,1,1
53635,0.009973287582397461,14,87178291200
58007,0.0039899349212646484,6,720
64518,0.005983591079711914,8,40320
6848,0.0069811344146728516,11,39916800
77721,0.011967897415161133,17,355687428096000
76057,0.005984067916870117,20,2432902008176640000
8126,0.000997304916381836,4,24
80938,0.0019948482513427734,5,120
59716,0.0019948482513427734,11,39916800
88883,0.0019943714141845703,6,720
26431,0.000997304916381836,5,120
12913,0.008976221084594727,17,355687428096000
75230,0.005984067916870117,20,2432902008176640000
6873,0.0029916763305664062,13,6227020800
3667,0.0029921531677246094,11,39916800
63163,0.006982088088989258,14,87178291200
64499,0.002991199493408203,5,120
49048,0.0019953250885009766,3,6
63996,0.00897526741027832,12,479001600
28624,0.0,1,1
28904,0.0019948482513427734,2,2
58555,0.004987478256225586,7,5040
50394,0.009972810745239258,14,87178291200
3927,0.00698089599609375,11,39916800
69997,0.004988431930541992,6,720
37852,0.0039882659912109375,17,355687428096000
40534,0.000997304916381836,4,24
56768,0.0,1,1
8930,0.0029916763305664062,11,39916800
15993,0.001995086669921875,3,6
13942,0.0019941329956054688,8,40320
86322,0.0009975433349609375,3,6
48790,0.009973526000976562,15,1307674368000
20493,0.004986286163330078,18,6402373705728000
93268,0.003989219665527344,17,355687428096000
31489,0.004987001419067383,18,6402373705728000
79456,0.0009970664978027344,2,2
43504,0.0009975433349609375,5,120
81152,0.001994609832763672,5,120
63495,0.0029921531677246094,4,24
15538,0.00498652458190918,8,40320
35773,0.005984067916870117,8,40320
82403,0.010970592498779297,17,355687428096000
65579,0.004986763000488281,7,5040
1066,0.004986763000488281,11,39916800
61310,0.0019943714141845703,6,720
88319,0.004987478256225586,8,40320
80862,0.0019941329956054688,2,2
2402,0.00498652458190918,9,362880
22932,0.009973526000976562,14,87178291200
72673,0.005983591079711914,14,87178291200
13183,0.0029921531677246094,4,24
68516,0.000997304916381836,2,2
169,0.007978677749633789,12,479001600
82093,0.006981372833251953,11,39916800
